query,count,note
"""Chinese Democratic League""",1,first_page=1
"""China Democratic League""",2,first_page=2
"""Democratic League""",6,first_page=6
Min Meng,0,first_page=0
"""Democratic League"" outlawed",0,first_page=0
"""Democratic League"" suppressed",0,first_page=0
"""Democratic League"" Hong Kong",3,first_page=3
Chang Lan,2,first_page=2
Carsun Chang,0,first_page=0
Lo Lung-chi,0,first_page=0
"""Lo Lung-ki""",0,first_page=0
Shen Chun-ju,0,first_page=0
"""Chang Po-chun""",0,first_page=0
Tan Ping-shan,0,first_page=0
"""third party"" China",1,first_page=1
Kuomintang opposition parties,0,first_page=0
